"Nombre_Comuna","n","prop"
"Buin",13,0.0136842105263158
"Calera de Tango",3,0.00315789473684211
"Cerrillos",12,0.0126315789473684
"Cerro Navia",19,0.02
"Colina",19,0.02
"Conchali",18,0.0189473684210526
"Curacavi",4,0.00421052631578947
"El Bosque",23,0.0242105263157895
"El Monte",4,0.00421052631578947
"Estacion Central",19,0.02
"Huechuraba",13,0.0136842105263158
"Independencia",15,0.0157894736842105
"Isla de Maipo",4,0.00421052631578947
"La Cisterna",12,0.0126315789473684
"La Florida",50,0.0526315789473684
"La Granja",17,0.0178947368421053
"La Pintana",25,0.0263157894736842
"La Reina",13,0.0136842105263158
"Lampa",13,0.0136842105263158
"Las Condes",39,0.0410526315789474
"Lo Barnechea",14,0.0147368421052632
"Lo Espejo",16,0.0168421052631579
"Lo Prado",14,0.0147368421052632
"Macul",15,0.0157894736842105
"Maipu",68,0.071578947368421
"Maria Pinto",2,0.00210526315789474
"Melipilla",16,0.0168421052631579
"Nunoa",27,0.0284210526315789
"Padre Hurtado",10,0.0105263157894737
"Paine",10,0.0105263157894737
"Pedro Aguirre Cerda",13,0.0136842105263158
"Penaflor",13,0.0136842105263158
"Penalolen",31,0.0326315789473684
"Pirque",4,0.00421052631578947
"Providencia",20,0.0210526315789474
"Pudahuel",31,0.0326315789473684
"Puente Alto",75,0.0789473684210526
"Quilicura",27,0.0284210526315789
"Quinta Normal",14,0.0147368421052632
"Recoleta",21,0.0221052631578947
"Renca",18,0.0189473684210526
"San Bernardo",52,0.0547368421052632
"San Jose de Maipo",2,0.00210526315789474
"San Miguel",14,0.0147368421052632
"San Ramon",12,0.0126315789473684
"Santiago",53,0.0557894736842105
"Talagante",10,0.0105263157894737
"Tiltil",2,0.00210526315789474
"Vitacura",11,0.0115789473684211
